frame.number,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.request.method,http.request.uri,http.host,http.user_agent,http.response.code
"1","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"2","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"3","217.168.1.2","192.168.1.255",,,"137","137",,,,,
"4",,,,,,,,,,,
"5",,,,,,,,,,,
"6","192.168.1.2","192.168.1.1",,,"2712","53",,,,,
"7","192.168.1.2","192.37.115.0",,,"2712","53",,,,,
"8","192.168.1.2","192.168.1.1",,,"2712","49973",,,,,
"9","192.168.1.3","192.168.1.2",,,"53","2712",,,,,
"10","192.168.1.2","192.168.1.1",,,"2713","53",,,,,
"11","192.168.1.110","192.168.1.1",,,"2713","53",,,,,
"12",,,,,,,,,,,
"13",,,,,,,,,,,
"14",,,,,,,,,,,
"15","192.168.1.2","192.168.1.1",,,"2597","29440",,,,,
"16","192.168.1.2","192.168.1.1",,,"2713","53",,,,,
"17","192.168.1.2","192.168.1.1",,,"2714","53",,,,,
"18","192.168.1.1","192.168.1.2",,,"53","2714",,,,,
"19","192.168.1.52","212.242.33.35",,,"5060","5060",,,,,
"20","212.242.33.35","192.168.1.2",,,"5060","5060",,,,,
"21","192.168.1.2","192.168.1.1",,,"2715","53",,,,,
"22","192.168.1.2","192.168.1.1",,,"2715","53",,,,,
"23",,,,,,,,,,,
"24","192.168.1.2","192.168.1.1",,,"2715","53",,,,,
"25","192.168.1.2","192.168.1.1",,,"2715","53",,,,,
"26","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"27","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"28","192.168.1.2","192.168.1.1",,,"2716","53",,,,,
"29","192.168.1.1","192.168.1.2",,,"9587","156",,,,,
"30",,,,,,,,,,,
"31","208.242.33.35","192.168.1.2",,,"5060","5060",,,,,
"32","212.242.33.35","192.168.1.2",,,"5060","5060",,,,,
"33","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"34","192.168.1.2","192.168.1.251",,,"138","138",,,,,
"35","192.168.1.2","147.137.21.94","2717","445",,,,,,,
"36","192.168.1.2","147.137.21.94","2718","139",,,,,,,
"37","192.168.1.2","147.137.21.94","2718","139",,,,,,,
"38","192.168.1.2","147.137.21.94","2717","445",,,,,,,
"39","192.168.1.71","147.137.21.122","2718","139",,,,,,,
"40","192.168.1.2","147.137.21.94","2717","445",,,,,,,
"41","192.114.1.2","192.168.1.1",,,"2719","53",,,,,
"42","192.168.1.2","192.168.1.1",,,"2719","53",,,,,
"43","192.168.1.1","192.168.1.2",,,"53","2719",,,,,
"44","192.168.1.2","147.234.1.253","2720","21",,,,,,,
"45",,,,,,,,,,,
"46","192.168.1.2","147.234.1.253",,,,,,,,,
"47","147.234.1.253","192.168.1.2","21","2720",,,,,,,
"48","192.168.1.2","147.234.1.253","2720","21",,,,,,,
"49","147.234.1.253","192.168.1.2","21","2720",,,,,,,
"50","147.234.1.253","192.169.1.2","21","2720",,,,,,,
"51","192.168.1.2","147.234.1.253","2679","21",,,,,,,
"52","147.234.1.253","192.168.1.2","21","2720",,,,,,,
"53","147.234.1.253","192.168.1.2","21","2720",,,,,,,
"54","147.234.1.253","192.168.1.2","21","2720",,,,,,,
"55",,,,,,,,,,,
"56","147.234.1.253","192.2.1.2","21","2720",,,,,,,
"57","147.234.1.253","192.168.1.66","21","2720",,,,,,,
"58","192.168.1.2","147.234.1.253","2720","21",,,,,,,
"59","147.234.1.253","192.168.1.2","21","2720",,,,,,,
"60","147.234.1.253","192.168.1.2","21","2720",,,,,,,
"61","192.168.1.2","147.234.1.253","2720","21",,,,,,,
"62","147.234.1.253","192.168.1.2","120","2720",,,,,,,
"63","147.234.1.170","170.170.170.170","43690","43690",,,,,,,
"64","192.168.1.2","147.234.1.253","2720","21",,,,,,,
"65","147.234.1.249","192.168.1.2","2069","2720",,,,,,,
"66","147.234.1.253","192.168.1.2","21","2720",,,,,,,
"67","192.168.1.2","147.234.1.253","2720","21",,,,,,,
"68","147.234.1.253","192.168.1.2","21","2208",,,,,,,
"69","147.234.1.253","192.168.1.2","21","2732",,,,,,,
"70","192.168.1.2","147.234.1.253","2720","21",,,,,,,
"71","147.234.1.253","192.168.1.2","21","2720",,,,,,,
"72","147.234.1.253","192.168.1.2","21","2720",,,,,,,
"73","192.168.1.2","147.234.1.253","2720","21",,,,,,,
"74","147.234.1.253","192.168.1.2","1045","2720",,,,,,,
"75","147.234.1.253","192.168.1.2","21","2720",,,,,,,
"76","192.168.1.2","147.234.1.253","2720","21",,,,,,,
"77","147.234.1.253","192.168.65.2","21","2720",,,,,,,
"78",,,,,,,,,,,
"79","147.234.1.253","84.168.1.2","21","2720",,,,,,,
"80","192.112.1.2","147.234.1.253","2720","21",,,,,,,
"81","170.170.170.170","170.170.170.170",,,,,,,,,
"82","192.168.1.2","147.117.1.253","2720","21",,,,,,,
"83","192.168.1.6","147.234.1.253","2721","58999",,,,,,,
"84",,,,,,,,,,,
"85","37.115.0.253","192.168.1.2","58999","2721",,,,,,,
"86","192.168.1.2","147.234.1.253","58657","47645",,,,,,,
"87","192.168.1.2","147.234.1.253","2721","58999",,,,,,,
"88","192.168.1.2","147.234.1.253","2720","21",,,,,,,
"89","147.234.1.253","192.232.1.2","58999","2721",,,,,,,
"90","147.234.1.253","192.168.1.2","21","2720",,,,,,,
"91","192.168.1.2","147.234.1.253","2720","21",,,,,,,
"92","147.234.1.253","192.168.1.2","21","2720",,,,,,,
"93","37.115.0.2","147.234.1.253","2639","21",,,,,,,
"94","147.234.1.253","192.168.1.2","21","2720",,,,,,,
"95","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"96","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"97","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"98",,,,,,,,,,,
"99",,,,,,,,,,,
"100","192.168.1.2","192.136.1.1",,,"2722","53",,,,,
"101","192.168.1.2","192.168.1.1",,,"2722","53",,,,,
"102","192.168.1.2","192.168.1.1",,,"2722","53",,,,,
"103","192.168.1.2","192.168.1.1",,,"2722","53",,,,,
"104","192.168.1.2","192.168.1.1",,,"2722","53",,,,,
"105","192.168.1.2","192.168.1.1",,,"2722","53",,,,,
"106","192.168.1.1","192.168.1.2",,,"53","2723",,,,,
"107","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"108","212.242.33.35","192.168.1.2",,,"5060","5060",,,,,
"109","192.168.1.2","192.168.1.1",,,"2724","9587",,,,,
"110","192.168.1.2","192.168.1.1",,,"2724","53",,,,,
"111","192.168.1.2","192.168.1.1",,,"2724","53",,,,,
"112","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"113","192.168.1.2","192.168.1.255",,,"137","25481",,,,,
"114","192.168.1.2","192.168.17.1",,,"2724","53",,,,,
"115","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"116","192.168.1.2","192.168.1.1",,,"2724","53",,,,,
"117","192.168.1.2","192.168.1.1",,,"2725","53",,,,,
"118","192.168.1.1","192.168.1.2",,,"53","2725",,,,,
"119","170.170.170.170","170.170.170.170",,,,,,,,,
"120","192.168.1.46","192.168.1.2",,,"53","2726",,,,,
"121","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"122","212.242.33.35","192.168.1.2",,,,,,,,,
"123",,,,,,,,,,,
"124",,,,,,,,,,,
"125","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"126","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"127","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"128","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"129","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"130","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"131","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"132","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"133","192.168.1.202","192.168.1.255",,,"137","137",,,,,
"134",,,,,,,,,,,
"135",,,,,,,,,,,
"136","192.168.1.2","192.168.1.1",,,"2732","53",,,,,
"137","192.168.1.2","192.168.1.1",,,"2732","53",,,,,
"138","192.168.1.2","192.168.1.1",,,,,,,,,
"139","192.168.1.2","192.168.1.1",,,"2732","53",,,,,
"140","192.168.1.2","192.170.170.170",,,"43690","43690",,,,,
"141","192.168.1.2","192.168.115.1",,,"2733","53",,,,,
"142","192.168.1.1","192.168.1.2",,,"53","2733",,,,,
"143","192.168.1.2","212.242.33.35",,,,,,,,,
"144","212.242.33.35","192.168.1.2",,,"5060","5060",,,,,
"145","192.168.1.2","192.168.1.1",,,"2734","53",,,,,
"146","172.168.1.2","192.168.1.1",,,"2734","53",,,,,
"147","192.168.1.2","192.168.1.1",,,"2734","53",,,,,
"148",,,,,,,,,,,
"149",,,,,,,,,,,
"150","192.168.1.2","192.168.1.1",,,"2734","53",,,,,
"151","192.168.1.2","192.168.1.1",,,"2734","53",,,,,
"152","200.168.1.2","192.168.1.1",,,"2735","53",,,,,
"153","253.168.1.1","192.168.1.2",,,"53","2735",,,,,
"154","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"155","212.242.33.35","192.168.1.2",,,"5060","5060",,,,,
"156","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"157","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"158","192.168.1.2","192.168.1.255",,,"137","169",,,,,
"159","192.168.1.2","192.168.1.1",,,"2736","53",,,,,
"160","192.168.1.2","192.168.1.1",,,"2684","53",,,,,
"161","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"162","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"163",,,,,,,,,,,
"164","192.168.1.2","192.168.1.17",,,"2736","53",,,,,
"165","192.168.1.2","192.168.1.1",,,"2736","53",,,,,
"166","192.168.1.2","192.168.1.1",,,"2736","53",,,,,
"167","192.168.1.2","192.168.1.1",,,"2737","53",,,,,
"168","192.168.1.1","192.168.1.2",,,"53","2737",,,,,
"169","192.168.1.2","212.242.33.35",,,"20932","5060",,,,,
"170","212.242.33.35","192.168.1.2",,,"5060","5060",,,,,
"171","192.168.1.2","192.168.84.1",,,"2738","53",,,,,
"172","192.168.1.2","192.168.1.1",,,"2738","53",,,,,
"173","192.168.1.2","192.168.1.1",,,"2738","53",,,,,
"174",,,,,,,,,,,
"175",,,,,,,,,,,
"176","192.168.1.2","192.168.1.1",,,"2716","53",,,,,
"177","192.168.1.2","192.168.1.1",,,"2738","53",,,,,
"178","192.168.1.2","192.168.1.1",,,"2739","53",,,,,
"179","192.168.1.1","192.168.1.2",,,"53","2739",,,,,
"180","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"181","212.242.33.35","192.168.1.2",,,"5060","5060",,,,,
"182","212.242.33.35","192.168.1.2",,,"5060","5060",,,,,
"183","192.168.1.2","192.168.1.1",,,"2740","53",,,,,
"184","192.168.1.2","192.168.1.1",,,"2740","53",,,,,
"185","192.168.1.2","192.168.1.1",,,"2740","53",,,,,
"186",,,,,,,,,,,
"187","192.168.1.2","192.168.1.1",,,"2740","53",,,,,
"188","192.168.1.2","192.168.1.255",,,"137","8329",,,,,
"189","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"190","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"191","192.168.1.2","192.168.1.1",,,"2741","53",,,,,
"192","192.168.130.1","192.168.1.2",,,"53","2741",,,,,
"193","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"194","192.168.1.2","192.168.1.1",,,"2742","53",,,,,
"195","192.168.1.2","192.168.1.1",,,"2730","43690",,,,,
"196","192.168.1.2","192.168.1.1",,,"2742","53",,,,,
"197","192.168.1.2","192.168.1.1",,,"2742","53",,,,,
"198","192.168.1.2","192.168.1.1",,,"2742","53",,,,,
"199",,,,,,,,,,,
"200","192.168.1.2","192.168.1.1",,,"2743","53",,,,,
"201","192.168.1.1","192.168.1.2",,,"53","2743",,,,,
"202","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"203",,,,,,,,,,,
"204",,,,,,,,,,,
"205","192.168.1.2","192.168.1.1",,,"2744","53",,,,,
"206","192.168.1.2","192.168.1.1",,,"2744","53",,,,,
"207","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"208","192.168.1.2","192.168.1.1",,,"2744","53",,,,,
"209","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"210","192.168.1.2","192.168.1.255",,,"88","137",,,,,
"211","192.168.1.2","192.168.1.1",,,"2744","53",,,,,
"212","192.168.1.2","192.168.1.1",,,"2744","53",,,,,
"213","192.168.1.170","170.170.170.170",,,"43690","43690",,,,,
"214","192.168.1.1","192.168.1.2",,,"53","2745",,,,,
"215","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"216","192.168.1.2","192.168.1.1",,,"2746","53",,,,,
"217","192.168.1.2","192.168.1.1",,,,,,,,,
"218","192.168.1.34","192.168.1.1",,,"2746","53",,,,,
"219","192.168.1.2","192.168.1.1",,,"2746","53",,,,,
"220","192.168.1.2","192.168.1.1",,,"2746","53",,,,,
"221","192.168.1.2","67.168.1.1",,,"2747","53",,,,,
"222","192.168.1.1","192.168.1.2",,,"53","2747",,,,,
"223","192.168.1.2","200.68.120.81",,,"5060","4932",,,,,
"224","192.168.1.2","192.168.1.1",,,"2748","53",,,,,
"225","192.168.1.2","200.68.120.81",,,"5060","5060",,,,,
"226","192.168.1.2","192.168.1.1",,,"2748","53",,,,,
"227","192.168.1.2","200.68.120.81",,,"5060","5060",,,,,
"228","200.68.120.81","192.168.1.2",,,"5060","5060",,,,,
"229","192.168.1.2","192.168.1.1",,,"2748","53",,,,,
"230",,,,,,,,,,,
"231",,,,,,,,,,,
"232","192.168.1.2","192.168.1.1",,,"2748","53",,,,,
"233","192.168.1.2","192.168.1.1",,,"2748","53",,,,,
"234","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"235","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"236","192.168.1.2","192.168.1.1",,,"2749","53",,,,,
"237","192.168.1.1","192.168.1.2",,,"53","2733",,,,,
"238",,,,,,,,,,,
"239","192.168.1.2","192.168.1.1",,,"2750","53",,,,,
"240","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"241","192.168.1.2","192.168.1.1",,,"2750","53",,,,,
"242","192.168.1.2","192.168.1.1",,,"10942","53",,,,,
"243","192.168.1.2","192.168.1.1",,,"2750","53",,,,,
"244","192.168.1.2","192.168.1.1",,,"2750","53",,,,,
"245","192.168.1.18","192.168.1.1",,,"2751","53",,,,,
"246","192.168.1.1","192.168.1.2",,,"53","2751",,,,,
"247","192.168.1.2","200.68.120.81",,,"5060","5060",,,,,
"248","192.168.1.2","192.168.1.1",,,"2752","53",,,,,
"249","192.168.1.2","200.68.120.81",,,"5060","5060",,,,,
"250","192.168.1.2","192.168.1.1",,,"2752","53",,,,,
"251","192.168.1.2","200.68.37.115",,,"4292","5060",,,,,
"252","200.68.120.81","192.168.1.2",,,"5060","5060",,,,,
"253","192.168.1.2","200.68.120.81",,,"4901","29440",,,,,
"254","192.168.1.2","102.168.1.1",,,"2752","53",,,,,
"255","192.168.1.2","200.68.120.81",,,"5060","5060",,,,,
"256","192.168.1.2","192.168.1.1",,,"2752","53",,,,,
"257","192.168.1.2","200.68.120.81",,,"5060","5060",,,,,
"258","192.98.1.2","25.168.1.1",,,"2752","53",,,,,
"259","192.168.1.2","200.68.120.81",,,"5060","5060",,,,,
"260","192.169.1.2","200.68.120.81",,,"5060","5060",,,,,
"261","192.168.1.2","192.168.1.1",,,"2753","53",,,,,
"262","192.168.1.1","192.168.1.2",,,"53","2753",,,,,
"263","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"264","192.86.1.2","200.68.120.99",,,"5060","5060",,,,,
"265","192.168.1.2","200.68.120.81",,,"5060","5060",,,,,
"266","192.168.1.2","200.68.120.81",,,"5060","5060",,,,,
"267",,,,,,,,,,,
"268","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"269","192.168.1.2","192.168.1.1",,,"2754","53",,,,,
"270","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"271","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"272","192.168.1.2","200.68.120.81",,,,,,,,,
"273","192.168.1.2","192.168.1.1",,,"2754","53",,,,,
"274","200.68.120.81","192.168.1.2",,,"5060","5060",,,,,
"275","14.168.1.2","192.168.1.1",,,"2754","53",,,,,
"276",,,,,,,,,,,
"277",,,,,,,,,,,
"278","192.168.1.2","192.168.1.1",,,"2754","53",,,,,
"279","192.168.1.2","192.168.1.1",,,"2755","53",,,,,
"280","192.168.1.1","192.168.1.2",,,"53","2755",,,,,
"281","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"282","192.168.1.2","192.168.1.1",,,"2756","53",,,,,
"283","192.168.1.2","192.168.1.1",,,"2756","53",,,,,
"284","192.168.1.2","192.168.1.1",,,"2756","53",,,,,
"285","192.168.1.2","192.168.1.1",,,"2756","53",,,,,
"286","192.168.1.2","192.168.1.1",,,"2756","53",,,,,
"287","192.168.1.2","192.168.1.1",,,"2757","53",,,,,
"288","192.168.1.1","192.168.1.2",,,"53","2757",,,,,
"289","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"290","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"291","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"292","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"293","192.168.1.2","192.168.1.1",,,"2640","53",,,,,
"294","192.168.1.2","192.168.1.1",,,"2785","53",,,,,
"295","192.168.37.115","128.168.1.1",,,"2758","53",,,,,
"296","192.168.1.2","192.168.1.1",,,"2758","53",,,,,
"297","192.168.1.2","192.168.1.1",,,"2758","53",,,,,
"298","192.168.1.2","192.168.1.1",,,"2759","53",,,,,
"299","192.168.1.1","192.168.1.2",,,,,,,,,
"300","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"301",,,,,,,,,,,
"302",,,,,,,,,,,
"303",,,,,,,,,,,
"304","192.22.1.2","192.168.1.1",,,"2760","53",,,,,
"305","192.168.1.2","192.168.1.1",,,"2760","53",,,,,
"306",,,,,,,,,,,
"307","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"308",,,,,,,,,,,
"309","192.168.1.2","192.168.1.1",,,"2760","53",,,,,
"310","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"311","192.168.1.2","192.168.1.1",,,"2761","53",,,,,
"312","192.168.1.1","192.168.1.2",,,"53","2761",,,,,
"313","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"314","192.168.1.2","192.168.1.1",,,"2762","53",,,,,
"315","192.168.1.2","192.168.1.1",,,"2762","53",,,,,
"316","192.168.1.2","192.168.1.1",,,"2762","53",,,,,
"317",,,,,,,,,,,
"318",,,,,,,,,,,
"319",,,,,,,,,,,
"320","192.168.1.1","192.168.1.2",,,"53","2763",,,,,
"321",,,,,,,,,,,
"322","192.168.1.2","192.168.1.1",,,"2764","53",,,,,
"323",,,,,,,,,,,
"324","192.168.1.2","192.168.1.1",,,"2764","53",,,,,
"325","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"326","212.242.33.35","192.168.1.2",,,"5060","5060",,,,,
"327","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"328","192.168.1.2","170.170.170.170",,,"43690","43690",,,,,
"329",,,,,,,,,,,
"330",,,,,,,,,,,
"331","192.168.1.2","192.168.1.1",,,"2764","53",,,,,
"332","192.168.1.2","192.168.1.1",,,"2764","53",,,,,
"333","192.168.1.110","192.168.1.1",,,"2765","53",,,,,
"334","192.168.1.1","192.168.1.2",,,"53","2765",,,,,
"335","192.168.1.2","212.242.33.35",,,"5060","5060",,,,,
"336","192.168.1.172","192.168.1.1",,,"2766","53",,,,,
"337","192.168.1.2","192.168.1.1",,,"2766","53",,,,,
"338","192.168.1.2","192.168.1.1",,,"2766","53",,,,,
"339",,,,,,,,,,,
"340","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"341","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"342","192.168.1.2","192.168.1.255",,,"137","137",,,,,
"343","192.168.1.2","192.168.1.1",,,"14798","53",,,,,
"344","192.168.1.2","192.168.1.1",,,"2767","53",,,,,
